Date,S&P 500 1-Month Realized Volatility Index
1/31/2012,8.9
2/1/2012,9.3
2/2/2012,7.63
2/3/2012,9.14
2/6/2012,9.08
2/7/2012,9.07
2/8/2012,9.06
2/9/2012,8.55
2/10/2012,8.87
2/13/2012,9.14
2/14/2012,8.99
2/15/2012,9.1
2/16/2012,9.09
2/17/2012,8.96
2/21/2012,8.96
2/22/2012,9.03
2/23/2012,9.15
2/24/2012,8.66
2/27/2012,8.44
2/28/2012,8.51
2/29/2012,8.62
3/1/2012,8.88
3/2/2012,8.4
3/5/2012,8.5
3/6/2012,8.71
3/7/2012,9.03
3/8/2012,9.62
3/9/2012,9.67
3/12/2012,9.66
3/13/2012,11.23
3/14/2012,10.99
3/15/2012,11.18
3/16/2012,11.03
3/19/2012,10.45
3/20/2012,10.47
3/21/2012,10.48
3/22/2012,10.72
3/23/2012,10.67
3/26/2012,11.67
3/27/2012,11.71
3/28/2012,11.77
3/29/2012,11.67
3/30/2012,11.55
4/2/2012,11.78
4/3/2012,11.79
4/4/2012,11.08
4/5/2012,10.82
4/9/2012,11.02
4/10/2012,12.46
4/11/2012,12.73
4/12/2012,12.07
4/13/2012,12.82
4/16/2012,12.66
4/17/2012,13.73
4/18/2012,13.73
4/19/2012,13.85
4/20/2012,13.84
4/23/2012,13.92
4/24/2012,13.93
4/25/2012,13.91
4/26/2012,14.06
4/27/2012,13.98
4/30/2012,14.04
5/1/2012,14.11
5/2/2012,13.9
5/3/2012,14.09
5/4/2012,14.75
5/7/2012,14.75
5/8/2012,14.29
5/9/2012,13.19
5/10/2012,12.96
5/11/2012,12.12
5/14/2012,11.96
5/15/2012,12.13
5/16/2012,11
5/17/2012,12.11
5/18/2012,12.21
5/21/2012,13.39
5/22/2012,13.06
5/23/2012,13.02
5/24/2012,12.15
5/25/2012,11.95
5/29/2012,12.52
5/30/2012,13.41
5/31/2012,13.29
6/1/2012,15.83
6/4/2012,15.61
6/5/2012,14.68
6/6/2012,16.67
6/7/2012,16.61
6/8/2012,16.68
6/11/2012,17.23
6/12/2012,17.65
6/13/2012,17.39
6/14/2012,17.67
6/15/2012,17.96
6/18/2012,17.18
6/19/2012,17.33
6/20/2012,16.44
6/21/2012,18.19
6/22/2012,18.35
6/25/2012,19.17
6/26/2012,19.23
6/27/2012,19.1
6/28/2012,18.45
6/29/2012,20.31
7/2/2012,18.39
7/3/2012,18.52
7/5/2012,18.49
7/6/2012,17.03
7/9/2012,17.04
7/10/2012,17.05
7/11/2012,16.47
7/12/2012,16.07
7/13/2012,16.86
7/16/2012,16.47
7/17/2012,16.28
7/18/2012,16.43
7/19/2012,16.11
7/20/2012,16.48
7/23/2012,14.84
7/24/2012,14.97
7/25/2012,13.89
7/26/2012,14.92
7/27/2012,15.99
7/30/2012,15.98
7/31/2012,13.6
8/1/2012,13.61
8/2/2012,13.68
8/3/2012,15.07
8/6/2012,14.73
8/7/2012,14.83
8/8/2012,14.56
8/9/2012,14.56
8/10/2012,14.48
8/13/2012,13.33
8/14/2012,13.3
8/15/2012,13.06
8/16/2012,13.09
8/17/2012,13.07
8/20/2012,12.59
8/21/2012,12.26
8/22/2012,11.85
8/23/2012,12.18
8/24/2012,11
8/27/2012,8.84
8/28/2012,8.84
8/29/2012,8.72
8/30/2012,9.07
8/31/2012,8.88
9/4/2012,6.02
9/5/2012,5.98
9/6/2012,9.04
9/7/2012,9.15
9/10/2012,9.39
9/11/2012,9.43
9/12/2012,9.44
9/13/2012,10.98
9/14/2012,11.06
9/17/2012,10.84
9/18/2012,10.83
9/19/2012,10.83
9/20/2012,10.77
9/21/2012,10.77
9/24/2012,10.42
9/25/2012,10.82
9/26/2012,11
9/27/2012,11.49
9/28/2012,11.59
10/1/2012,11.31
10/2/2012,11.17
10/3/2012,11.24
10/4/2012,11.5
10/5/2012,9.12
10/8/2012,9.09
10/9/2012,9.48
10/10/2012,9.66
10/11/2012,9.64
10/12/2012,7.91
10/15/2012,8.27
10/16/2012,8.93
10/17/2012,9.03
10/18/2012,9.06
10/19/2012,10.75
10/22/2012,10.75
10/23/2012,11.85
10/24/2012,11.32
10/25/2012,11.19
10/26/2012,10.69
10/31/2012,10.58
11/1/2012,11.19
11/2/2012,11.65
11/5/2012,11.61
11/6/2012,11.66
11/7/2012,14.32
11/8/2012,14.89
11/9/2012,14.5
11/12/2012,14.34
